test_id,file,function,line,async,assertions,status_code_assertions,http_methods,endpoint_literals,parametrized,decorators,execution_status,execution_cases,passed_cases,execution_evidence,evidence
modules/riders/tests/test_create_flow.py::test_create_and_approve_flow,modules/riders/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/riders/tests/test_create_flow.py:6
modules/riders/tests/test_health.py::test_health,modules/riders/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/riders/tests/test_health.py:4
modules/riders/tests/test_permissions.py::test_create_auth_boundary,modules/riders/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/riders/tests/test_permissions.py:6
modules/services/tests/test_contract.py::test_required_contract_documents_exist,modules/services/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/services/tests/test_contract.py:4
modules/services/tests/test_create_flow.py::test_create_and_approve_flow,modules/services/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/services/tests/test_create_flow.py:6
modules/services/tests/test_health.py::test_health,modules/services/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/services/tests/test_health.py:4
modules/services/tests/test_permissions.py::test_create_auth_boundary,modules/services/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/services/tests/test_permissions.py:6
modules/stock/tests/test_contract.py::test_required_contract_documents_exist,modules/stock/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/stock/tests/test_contract.py:4
modules/stock/tests/test_create_flow.py::test_create_and_approve_flow,modules/stock/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/stock/tests/test_create_flow.py:6
modules/stock/tests/test_health.py::test_health,modules/stock/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/stock/tests/test_health.py:4
modules/stock/tests/test_permissions.py::test_create_auth_boundary,modules/stock/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/stock/tests/test_permissions.py:6
modules/tms/tests/test_contract.py::test_required_contract_documents_exist,modules/tms/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/tms/tests/test_contract.py:4
modules/tms/tests/test_create_flow.py::test_create_and_approve_flow,modules/tms/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/tms/tests/test_create_flow.py:6
modules/tms/tests/test_health.py::test_health,modules/tms/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/tms/tests/test_health.py:4
modules/tms/tests/test_permissions.py::test_create_auth_boundary,modules/tms/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/tms/tests/test_permissions.py:6
modules/wms/tests/test_contract.py::test_required_contract_documents_exist,modules/wms/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/wms/tests/test_contract.py:4
modules/wms/tests/test_create_flow.py::test_create_and_approve_flow,modules/wms/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/wms/tests/test_create_flow.py:6
modules/wms/tests/test_health.py::test_health,modules/wms/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/wms/tests/test_health.py:4
modules/wms/tests/test_permissions.py::test_create_auth_boundary,modules/wms/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/wms/tests/test_permissions.py:6
