module,method,path,field,status,evidence
shared,GET,/valley/catalog/categories,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:174
shared,GET,/valley/catalog/business-activities,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:178
shared,GET,/valley/catalog/facets,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:182
shared,GET,/valley/catalog,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:186
shared,GET,/valley/catalog/offers,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:217
shared,GET,/valley/catalog/offers/{offer_id},payload sem modelo local comprovado,lacuna,modules/shared/valley.py:221
shared,GET,/valley/catalog/search,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:230
shared,POST,/valley/orders/{order_id}/pepitas/grants,pepitas,campo de modelo Pydantic comprovado,modules/shared/valley.py:263
shared,POST,/valley/orders/{order_id}/pepitas/grants,customer_user_id,campo de modelo Pydantic comprovado,modules/shared/valley.py:263
shared,POST,/valley/orders/{order_id}/pepitas/grants,merchant_gold_ledger_id,campo de modelo Pydantic comprovado,modules/shared/valley.py:263
shared,POST,/valley/orders/{order_id}/pepitas/grants,note,campo de modelo Pydantic comprovado,modules/shared/valley.py:263
shared,POST,/valley/checkout/discount-options,catalog_product_id,campo de modelo Pydantic comprovado,modules/shared/valley.py:323
shared,POST,/valley/checkout/discount-options,price_brl,campo de modelo Pydantic comprovado,modules/shared/valley.py:323
shared,POST,/valley/checkout/discount-options,user_pepitas_balance,campo de modelo Pydantic comprovado,modules/shared/valley.py:323
shared,POST,/valley/checkout/discount-quotes,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:355
stock,POST,/calculations/unit-conversion,quantity,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,multiplier,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,divisor,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,precision,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,rounding_mode,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,source_dimension,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,target_dimension,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,effective_from,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,effective_to,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,approved,campo de modelo Pydantic comprovado,modules/stock/main.py:29
stock,POST,/calculations/unit-conversion,density,campo de modelo Pydantic comprovado,modules/stock/main.py:29
