app,module,entity,surface,title,route,field,binding,evidence
all-in-one,bpm,processes,list,Processes,/bpm/processes,created_at,campo físico provável,apps/all-in-one/src/pages/bpm/ProcessesList.tsx:6
all-in-one,bpm,sla_policies,form,Sla Policies,/bpm/slapolicies-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/SlaPoliciesForm.tsx:6
all-in-one,bpm,sla_policies,form,Sla Policies,/bpm/slapolicies-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/SlaPoliciesForm.tsx:6
all-in-one,bpm,sla_policies,form,Sla Policies,/bpm/slapolicies-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/SlaPoliciesForm.tsx:6
all-in-one,bpm,sla_policies,list,Sla Policies,/bpm/slapolicies,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/SlaPoliciesList.tsx:6
all-in-one,bpm,sla_policies,list,Sla Policies,/bpm/slapolicies,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/SlaPoliciesList.tsx:6
all-in-one,bpm,sla_policies,list,Sla Policies,/bpm/slapolicies,status,campo físico provável,apps/all-in-one/src/pages/bpm/SlaPoliciesList.tsx:6
all-in-one,bpm,sla_policies,list,Sla Policies,/bpm/slapolicies,created_at,campo físico provável,apps/all-in-one/src/pages/bpm/SlaPoliciesList.tsx:6
all-in-one,bpm,tasks,form,Tasks,/bpm/tasks-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/TasksForm.tsx:6
all-in-one,bpm,tasks,form,Tasks,/bpm/tasks-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/TasksForm.tsx:6
all-in-one,bpm,tasks,form,Tasks,/bpm/tasks-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/TasksForm.tsx:6
all-in-one,bpm,tasks,list,Tasks,/bpm/tasks,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/TasksList.tsx:6
all-in-one,bpm,tasks,list,Tasks,/bpm/tasks,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/TasksList.tsx:6
all-in-one,bpm,tasks,list,Tasks,/bpm/tasks,status,campo físico provável,apps/all-in-one/src/pages/bpm/TasksList.tsx:6
all-in-one,bpm,tasks,list,Tasks,/bpm/tasks,created_at,campo físico provável,apps/all-in-one/src/pages/bpm/TasksList.tsx:6
all-in-one,bpm,workflow_instances,form,Workflow Instances,/bpm/workflowinstances-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/WorkflowInstancesForm.tsx:6
all-in-one,bpm,workflow_instances,form,Workflow Instances,/bpm/workflowinstances-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/WorkflowInstancesForm.tsx:6
all-in-one,bpm,workflow_instances,form,Workflow Instances,/bpm/workflowinstances-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/WorkflowInstancesForm.tsx:6
all-in-one,bpm,workflow_instances,list,Workflow Instances,/bpm/workflowinstances,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/WorkflowInstancesList.tsx:6
all-in-one,bpm,workflow_instances,list,Workflow Instances,/bpm/workflowinstances,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/WorkflowInstancesList.tsx:6
all-in-one,bpm,workflow_instances,list,Workflow Instances,/bpm/workflowinstances,status,campo físico provável,apps/all-in-one/src/pages/bpm/WorkflowInstancesList.tsx:6
all-in-one,bpm,workflow_instances,list,Workflow Instances,/bpm/workflowinstances,created_at,campo físico provável,apps/all-in-one/src/pages/bpm/WorkflowInstancesList.tsx:6
all-in-one,business,branches,form,Branches,/business/branches-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesForm.tsx:6
all-in-one,business,branches,form,Branches,/business/branches-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesForm.tsx:6
all-in-one,business,branches,form,Branches,/business/branches-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesForm.tsx:6
all-in-one,business,branches,list,Branches,/business/branches,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesList.tsx:6
all-in-one,business,branches,list,Branches,/business/branches,title,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesList.tsx:6
all-in-one,business,branches,list,Branches,/business/branches,status,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesList.tsx:6
all-in-one,business,branches,list,Branches,/business/branches,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BranchesList.tsx:6
all-in-one,business,business,list,Business,/business/business,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessOverview.tsx:6
all-in-one,business,business,list,Business,/business/business,title,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessOverview.tsx:6
all-in-one,business,business,list,Business,/business/business,status,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessOverview.tsx:6
all-in-one,business,business,list,Business,/business/business,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessOverview.tsx:6
all-in-one,business,businesspermissions,list,Business Permissões,/business/businesspermissions,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessPermissions.tsx:6
all-in-one,business,businesspermissions,list,Business Permissões,/business/businesspermissions,title,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessPermissions.tsx:6
all-in-one,business,businesspermissions,list,Business Permissões,/business/businesspermissions,status,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessPermissions.tsx:6
all-in-one,business,businesspermissions,list,Business Permissões,/business/businesspermissions,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/business/BusinessPermissions.tsx:6
all-in-one,business,catalog_offers,form,Catalog Offers,/business/catalogoffers-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CatalogOffersForm.tsx:6
all-in-one,business,catalog_offers,form,Catalog Offers,/business/catalogoffers-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CatalogOffersForm.tsx:6
all-in-one,business,catalog_offers,form,Catalog Offers,/business/catalogoffers-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CatalogOffersForm.tsx:6
all-in-one,business,catalog_offers,list,Catalog Offers,/business/catalogoffers,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CatalogOffersList.tsx:6
all-in-one,business,catalog_offers,list,Catalog Offers,/business/catalogoffers,title,campo físico provável,apps/all-in-one/src/pages/business/CatalogOffersList.tsx:6
all-in-one,business,catalog_offers,list,Catalog Offers,/business/catalogoffers,status,campo físico provável,apps/all-in-one/src/pages/business/CatalogOffersList.tsx:6
all-in-one,business,catalog_offers,list,Catalog Offers,/business/catalogoffers,created_at,campo físico provável,apps/all-in-one/src/pages/business/CatalogOffersList.tsx:6
all-in-one,business,companies,form,Companies,/business/companies-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompaniesForm.tsx:6
